,date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
139,2012-05-19,2012,05,19,64.2,43.2,1020.9,10.0,2.7,15.9,999.9,78.1,46.9,0.0,999.9,0
140,2012-05-20,2012,05,20,66.9,42.3,1022.6,10.0,4.1,13.0,15.0,77.0,46.9,0.0,999.9,0
141,2012-05-21,2012,05,21,60.4,55.8,1021.8,5.6,6.7,13.0,19.0,66.9,52.0,0.0,999.9,1
142,2012-05-22,2012,05,22,63.4,61.0,1011.7,5.8,4.9,13.0,15.9,70.0,57.9,1.62,999.9,1
143,2012-05-23,2012,05,23,67.9,63.4,1013.0,7.6,2.1,8.0,999.9,73.9,57.0,0.04,999.9,1
144,2012-05-24,2012,05,24,64.6,63.2,1019.6,4.6,3.4,11.1,999.9,66.0,52.0,0.03,999.9,1
145,2012-05-25,2012,05,25,64.7,62.8,1022.1,3.5,3.6,11.1,999.9,73.4,52.0,0.92,999.9,1
146,2012-05-26,2012,05,26,72.2,68.0,1019.7,7.2,2.9,12.0,999.9,84.0,57.0,0.0,999.9,1
147,2012-05-27,2012,05,27,73.3,65.4,1019.5,7.9,1.4,13.0,999.9,81.0,60.1,0.07,999.9,0
148,2012-05-28,2012,05,28,76.8,68.0,1014.5,9.2,1.9,7.0,999.9,89.1,61.0,0.01,999.9,1
149,2012-05-29,2012,05,29,81.1,69.5,1009.7,9.5,3.6,8.9,999.9,89.1,75.0,0.0,999.9,1
150,2012-05-30,2012,05,30,71.6,65.4,1007.5,9.3,3.0,11.1,999.9,78.1,61.0,0.22,999.9,1
151,2012-05-31,2012,05,31,72.5,55.6,1008.4,9.8,4.0,8.0,15.9,79.0,59.0,0.01,999.9,1
152,2012-06-01,2012,06,01,66.7,51.9,1014.4,10.0,5.9,15.9,18.1,73.0,55.9,0.0,999.9,1
153,2012-06-02,2012,06,02,67.0,58.6,1006.7,7.6,5.4,21.0,999.9,73.9,53.1,0.64,999.9,0
154,2012-06-03,2012,06,03,64.9,50.0,1006.5,9.8,4.4,18.1,22.0,75.9,55.9,0.39,999.9,1
155,2012-06-04,2012,06,04,59.9,52.2,1004.4,9.4,6.2,19.0,999.9,64.9,51.1,0.01,999.9,0
156,2012-06-05,2012,06,05,57.2,47.0,1010.9,9.9,4.5,18.1,19.0,64.0,51.1,0.18,999.9,0
157,2012-06-06,2012,06,06,62.2,51.4,1014.4,9.8,1.7,8.0,999.9,71.1,52.0,0.01,999.9,0
158,2012-06-07,2012,06,07,65.7,54.5,1014.2,9.9,2.8,8.0,999.9,77.0,57.0,0.02,999.9,0
159,2012-06-08,2012,06,08,69.9,53.0,1012.6,10.0,3.0,8.0,999.9,81.0,51.1,0.01,999.9,1
160,2012-06-09,2012,06,09,71.7,53.9,1012.1,10.0,2.1,11.1,999.9,78.1,59.0,0.0,999.9,0
161,2012-06-10,2012,06,10,73.4,61.8,1017.0,9.8,1.6,13.0,999.9,82.0,55.9,0.0,999.9,1
162,2012-06-11,2012,06,11,70.2,58.3,1022.9,9.5,4.3,9.9,15.0,77.0,53.1,0.0,999.9,0
163,2012-06-12,2012,06,12,66.6,62.3,1020.3,6.9,4.9,12.0,15.9,70.0,62.1,0.0,999.9,0
164,2012-06-13,2012,06,13,66.1,63.8,1013.6,5.9,5.4,12.0,22.0,68.0,57.0,1.32,999.9,0
165,2012-06-14,2012,06,14,68.1,59.6,1021.0,9.8,5.8,15.0,18.1,75.9,57.0,0.02,999.9,0
166,2012-06-15,2012,06,15,68.6,54.3,1024.8,9.8,3.4,16.9,999.9,78.1,53.1,0.0,999.9,0
167,2012-06-16,2012,06,16,68.3,52.3,1025.7,10.0,4.0,14.0,999.9,79.0,55.9,0.0,999.9,0
168,2012-06-17,2012,06,17,64.8,55.6,1022.7,9.8,4.4,13.0,999.9,71.1,55.9,0.0,999.9,0
169,2012-06-18,2012,06,18,62.7,52.7,1020.1,10.0,2.8,7.0,999.9,70.0,55.9,0.0,999.9,0
