date,weekday_num,temp,slp,wdsp,collisions
2013-11-06,3,46.5,1030.4,3.7,496.0
2013-11-07,4,57.8,1015.6,11.4,514.0
2013-11-08,5,47.1,1012.2,13.7,535.0
2013-11-09,6,41.7,1020.4,12.9,443.0
2013-11-10,0,52.5,1013.4,13.0,387.0
2013-11-11,1,47.1,1015.7,15.9,336.0
2013-11-12,2,45.7,1015.0,16.5,430.0
2013-11-13,3,33.5,1022.1,12.6,462.0
2013-11-14,4,42.8,1021.3,14.2,498.0
2013-11-15,5,53.0,1022.7,12.3,494.0
2013-11-16,6,51.2,1025.0,6.5,475.0
2013-11-17,0,48.9,1024.9,7.0,400.0
2013-11-18,1,55.9,1006.1,13.5,481.0
2013-11-19,2,47.0,1010.1,14.0,470.0
2013-11-20,3,38.0,1028.8,14.5,475.0
2013-11-21,4,39.0,1035.0,4.9,500.0
2013-11-22,5,46.2,1024.5,5.6,567.0
2013-11-23,6,47.3,1010.4,9.9,434.0
2013-11-24,0,30.5,1011.1,18.3,393.0
2013-11-25,1,27.0,1025.3,15.4,571.0
2013-11-26,2,44.4,1026.6,11.3,0.0
2013-11-27,3,53.3,1009.8,20.0,198.0
2013-11-28,4,40.1,1014.2,14.9,160.0
2013-11-29,5,31.2,1033.0,8.7,152.0
2013-11-30,6,31.3,1038.9,6.5,391.0
2013-12-01,0,43.1,1026.2,10.9,241.0
2013-12-02,1,44.0,1014.2,7.1,440.0
2013-12-03,2,41.8,1011.1,11.7,442.0
2013-12-04,3,39.8,1017.2,6.4,401.0
2013-12-05,4,43.4,1021.5,7.4,464.0
2013-12-06,5,50.6,1015.2,8.4,166.0
2013-12-07,6,39.7,1021.6,11.8,456.0
2013-12-08,0,34.0,1032.4,8.8,329.0
2013-12-09,1,40.8,1023.6,11.2,503.0
2013-12-10,2,38.8,1012.4,9.1,399.0
2013-12-11,3,31.8,1020.3,12.8,493.0
2013-12-12,4,28.1,1022.3,11.5,510.0
2013-12-13,5,28.1,1019.3,12.7,379.0
2013-12-14,6,26.9,1029.8,10.7,360.0
2013-12-15,0,40.0,1004.5,18.9,368.0
2013-12-16,1,32.0,1012.3,12.5,496.0
2013-12-17,2,28.6,1021.4,9.6,370.0
2013-12-18,3,35.4,1011.3,13.0,379.0
2013-12-19,4,39.1,1018.9,13.8,482.0
2013-12-20,5,42.5,1019.0,7.4,516.0
2013-12-21,6,47.6,1016.3,9.0,380.0
2013-12-22,0,51.9,1014.6,15.2,409.0
2013-12-23,1,48.7,1015.7,6.7,358.0
2013-12-24,2,38.4,1017.1,13.4,405.0
2013-12-25,3,26.2,1026.6,12.5,0.0
2013-12-26,4,33.3,1029.1,7.8,336.0
2013-12-27,5,33.1,1023.9,10.0,379.0
2013-12-28,6,39.3,1022.2,10.4,362.0
2013-12-29,0,43.2,1016.7,7.8,151.0
2013-12-30,1,42.5,1008.3,14.1,387.0
2013-12-31,2,28.5,1018.8,10.1,381.0
2014-01-01,3,28.2,1025.6,11.3,321.0
2014-01-02,4,31.1,1020.8,10.9,465.0
2014-01-03,5,24.2,1007.0,26.9,336.0
2014-01-04,6,18.8,1030.5,12.1,269.0
2014-01-05,0,37.8,1026.0,8.6,0.0
2014-01-06,1,46.3,1007.0,14.8,415.0
2014-01-07,2,23.9,1009.6,17.6,389.0
2014-01-08,3,18.2,1028.1,12.0,315.0
2014-01-09,4,23.5,1034.2,7.9,445.0
2014-01-10,5,28.8,1034.1,5.8,540.0
2014-01-11,6,44.8,1019.0,13.4,373.0
2014-01-12,0,45.1,1003.8,14.7,198.0
2014-01-13,1,38.6,1018.7,7.7,464.0
2014-01-14,2,45.5,1012.5,11.8,458.0
2014-01-15,3,41.1,1013.3,6.0,379.0
2014-01-16,4,40.8,1010.6,5.9,430.0
2014-01-17,5,38.6,1014.8,3.7,468.0
2014-01-18,6,38.8,1009.2,7.9,346.0
2014-01-19,0,36.1,1005.7,16.5,292.0
2014-01-20,1,41.0,1003.2,16.8,201.0
2014-01-21,2,29.2,1012.1,12.6,0.0
2014-01-22,3,25.0,1001.1,25.7,413.0
2014-01-23,4,16.5,1014.4,11.1,478.0
2014-01-24,5,14.8,1022.4,11.8,389.0
2014-01-25,6,32.0,1011.2,17.0,385.0
