date,temp,slp,wdsp,gust,BRONX,BROOKLYN,MANHATTAN,QUEENS,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2013-03-25,38.1,1003.3,9.7,28.0,,0.7111111111111111,0.023809523809523808,0.3333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2013-03-26,39.8,1002.7,15.5,34.0,,,0.023809523809523808,0.16666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2013-03-27,41.7,1008.3,9.4,22.9,0.3076923076923077,0.0,0.023809523809523808,0.20833333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2013-03-28,42.5,1011.7,12.5,25.1,0.23076923076923078,0.5777777777777777,0.9523809523809523,0.7708333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2013-03-29,45.2,1016.4,8.9,20.0,0.46153846153846156,0.26666666666666666,0.5238095238095238,0.3958333333333333,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2013-03-30,44.5,1017.4,7.0,17.1,0.6666666666666666,0.06666666666666667,0.11904761904761904,0.625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-03-31,43.0,1019.2,7.1,,0.0,0.1111111111111111,,0.2916666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2013-04-01,47.0,1005.8,16.3,34.0,0.4166666666666667,0.0,0.0,0.4473684210526316,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-04-02,39.6,1011.4,17.2,33.0,0.20833333333333334,,0.10256410256410256,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-04-03,42.6,1015.8,17.0,34.0,,0.4642857142857143,0.6153846153846154,0.18421052631578946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-04-04,39.0,1023.2,14.0,28.0,0.7916666666666666,0.9464285714285714,0.3076923076923077,0.4473684210526316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-04-05,42.9,1014.7,8.0,22.0,0.7916666666666666,0.5357142857142857,0.7435897435897436,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-04-06,40.2,1018.3,12.5,28.9,0.2916666666666667,0.5178571428571429,0.8205128205128205,0.23684210526315788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
