date,temp,slp,wdsp,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,collisions
2013-05-25,55.6,1005.9,7.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.24027353966870096
2013-05-26,50.2,1010.9,13.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.003676470588235294
2013-05-27,56.9,1020.0,14.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.013513513513513514
2013-05-28,56.6,1023.2,6.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7830882352941176
2013-05-29,57.9,1021.0,10.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.4039742422688343
2013-05-30,60.9,1018.8,11.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.7290673789132045
2013-05-31,62.0,1018.5,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4435483870967742
2013-06-01,60.9,1016.7,10.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5986028004292178
2013-06-02,61.8,1013.6,12.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.03571428571428571
2013-06-03,60.8,1012.0,12.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.8005891693647391
2013-06-04,61.8,1012.5,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.48460823059011254
2013-06-05,58.6,1020.5,5.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.4315488173319851
2013-06-06,58.6,1022.0,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.48890009864586126
2013-06-07,56.1,1016.3,11.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
2013-06-08,62.3,1009.3,19.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.3468066108188843
2013-06-09,63.6,1019.3,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.1818272058482462
2013-06-10,62.2,1021.3,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5579527427569508
2013-06-11,60.8,1008.7,13.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5731597444484645
2013-06-12,64.0,1003.4,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5069071430117602
2013-06-13,60.8,1008.2,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.22032808252855007
2013-06-14,55.0,1003.0,18.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6136653895274584
2013-06-15,62.4,1011.0,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.47171360849034727
2013-06-16,61.3,1013.5,9.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.02142857142857143
2013-06-17,63.2,1011.3,9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.09322033898305085
2013-06-18,60.9,1012.9,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4461209602355131
2013-06-19,62.6,1014.3,12.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5884291342356801
2013-06-20,60.6,1023.9,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7371311989956058
2013-06-21,62.0,1025.9,8.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.15948275862068967
2013-06-22,63.4,1024.6,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.4724297959978848
2013-06-23,64.9,1021.8,9.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.13777139208173692
2013-06-24,66.8,1016.0,12.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.7419905126801678
2013-06-25,69.7,1012.8,10.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5670382894374713
2013-06-26,69.5,1008.6,9.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5360261488841267
2013-06-27,65.5,1010.0,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.41754821741671533
2013-06-28,66.1,1004.7,12.9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.4182647141589281
2013-06-29,66.2,1004.0,13.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.3495514551037637
2013-06-30,65.4,1012.1,8.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0211864406779661
2013-07-01,66.7,1017.0,10.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5249451754385965
2013-07-02,67.7,1022.2,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5763584307992203
2013-07-03,68.7,1024.1,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6833881578947368
2013-07-04,69.8,1023.5,11.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.125
2013-07-05,71.6,1021.6,12.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6287463450292398
2013-07-06,73.0,1018.5,13.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1087962962962963
2013-07-07,74.4,1016.3,9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.20208942495126705
2013-07-08,72.6,1015.5,10.7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.581536306042885
2013-07-09,72.7,1018.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5361842105263157
2013-07-10,71.1,1015.5,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.40826023391812866
2013-07-11,71.8,1011.6,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5823586744639376
2013-07-12,69.4,1015.9,6.7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6788194444444445
2013-07-13,67.9,1024.4,6.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4745065789473685
2013-07-14,72.9,1025.1,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2069627192982456
2013-07-15,76.3,1021.6,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5426413255360624
2013-07-16,77.4,1019.6,7.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5533016569200779
2013-07-17,72.9,1020.8,5.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29264132553606237
2013-07-18,75.6,1016.6,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5230263157894737
2013-07-19,73.9,1013.4,9.6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.49479166666666663
2013-07-20,74.5,1008.8,11.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4699074074074074
2013-07-21,72.8,1012.6,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.004629629629629629
2013-07-22,68.3,1015.1,5.1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5670687134502924
2013-07-23,72.1,1007.1,8.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6550012183235867
