date,temp,slp,wdsp,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,collisions
2013-06-06,58.6,1022.0,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,484.0
2013-06-07,56.1,1016.3,11.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
2013-06-08,62.3,1009.3,19.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,449.0
2013-06-09,63.6,1019.3,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,422.0
2013-06-10,62.2,1021.3,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,502.0
2013-06-11,60.8,1008.7,13.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,503.0
2013-06-12,64.0,1003.4,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,484.0
2013-06-13,60.8,1008.2,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,431.0
2013-06-14,55.0,1003.0,18.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,478.0
2013-06-15,62.4,1011.0,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,474.0
2013-06-16,61.3,1013.5,9.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,152.0
2013-06-17,63.2,1011.3,9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,231.0
2013-06-18,60.9,1012.9,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,478.0
2013-06-19,62.6,1014.3,12.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,512.0
2013-06-20,60.6,1023.9,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,530.0
2013-06-21,62.0,1025.9,8.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,212.0
2013-06-22,63.4,1024.6,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,475.0
2013-06-23,64.9,1021.8,9.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,266.0
